Alpha Chamaeleontis,93,4.05,1,7
Theta Chamaeleontis,93,4.34,1,6
Gamma Chamaeleontis,93,4.11,0,1
Delta Chamaeleontis,93,4.45,0,0
Beta Chamaeleontis,93,4.24,6,27
Alpha Volantis,95,4.00,0,15
Beta Volantis,95,3.77,1,9
Epsilon Volantis,95,4.35,1,8
Delta Volantis,95,3.97,1,3
Gamma Volantis,95,3.62,1,4
Zeta Volantis,95,3.93,1,5
Alpha Carinae,94,-0.72,1,20
Chi Carinae,94,3.46,1,11
Epsilon Carinae,94,1.86,1,10
Iota Carinae,94,2.23,0,16
q Carinae,94,3.52,0,11
Rho Carinae,94,3.31,0,3
Theta Carinae,94,2.74,0,4
Omega Carinae,94,3.29,0,2
l Carinae,94,3.94,0,13
Upsilon Carinae,94,2.92,0,12
Beta Carinae,94,1.67,0,14
a Carinae,94,3.36,0,18
d Carinae,94,4.25,0,19
Gamma Velorum,91,1.83,1,12
Delta Velorum,91,1.96,0,20
Kappa Velorum,91,2.47,0,17
Phi Velorum,91,3.52,0,10
Mu Velorum,91,2.69,0,7
p Velorum,91,3.91,0,8
q Velorum,91,3.86,0,9
Psi Velorum,91,3.66,0,23
Lambda Velorum,91,2.21,0,22
c Velorum,91,3.91,0,21
Alpha Antliae,89,4.41,0,33
Epsilon Antliae,89,4.66,0,24
Iota Antliae,89,4.75,0,34
Theta Antliae,89,4.88,0,32
Beta Pyxidis,90,4.13,0,25
Alpha Pyxidis,90,3.61,0,26
Gamma Pyxidis,90,4.02,0,27
Delta Pyxidis,90,4.91,0,28
Kappa Pyxidis,90,4.72,0,29
Theta Pyxidis,90,4.78,0,30
Lambda Pyxidis,90,4.84,0,31
Alpha Crateris,82,4.22,0,42
Beta Crateris,82,4.47,0,41
Gamma Crateris,82,4.13,0,39
Delta Crateris,82,3.70,0,40
Zeta Crateris,82,4.88,0,38
Epsilon Crateris,82,4.91,0,90
Theta Crateris,82,4.66,0,91
Eta Crateris,82,5.16,0,37
Alpha Sextantis,87,4.47,0,87
Beta Sextantis,87,5.03,0,88
Delta Sextantis,87,5.19,0,89
Gamma Sextantis,87,5.06,0,48
Epsilon Hydrae,34,3.50,0,57
Delta Hydrae,34,4.13,0,56
Sigma Hydrae,34,4.59,0,55
Eta Hydrae,34,4.22,0,54
Zeta Hydrae,34,3.27,0,52
Rho Hydrae,34,4.34,0,53
Theta Hydrae,34,3.78,0,51
Iota Hydrae,34,4.03,0,50
Alpha Hydrae,34,2.13,0,49
Lambda Hydrae,34,3.77,0,45
Upsilon2 Hydrae,34,4.56,0,46
Upsilon1 Hydrae,34,4.25,0,47
Mu Hydrae,34,3.95,0,44
Nu Hydrae,34,3.27,0,43
Xi Hydrae,34,3.69,0,35
Beta Hydrae,34,4.25,0,36
Gamma Hydrae,34,3.14,6,41
Pi Hydrae,34,3.41,6,59
E Hydrae ,undefined,4.53,6,60
Iota Cancri,85,4.19,0,61
Gamma Cancri,85,4.66,0,60
Delta Cancri,85,4.09,0,59
Alpha Cancri,85,4.28,0,58
Beta Cancri,85,3.66,1,92
Mu Leonis,88,4.03,0,79
Epsilon Leonis,88,3.11,0,80
Zeta Leonis,88,3.50,0,84
Gamma Leonis,88,2.16,0,85
Eta Leonis,88,3.50,0,83
Alpha Leonis,88,1.32,0,82
Delta Leonis,88,2.58,0,97
b Leonis,88,4.41,0,96
Beta Leonis,88,2.16,0,94
Theta Leonis,88,3.33,0,95
Beta Leo Minoris,73,4.34,0,76
21 Leo Minoris,73,4.53,0,78
10 Leo Minoris,73,4.69,0,63
46 Leo Minoris,73,3.94,0,100
30 Leo Minoris,73,4.78,0,77
Omicron Ursae Majoris,10,3.50,0,69
h Ursae Majoris,10,3.72,0,70
Upsilon Ursae Majoris,10,3.84,0,71
Phi Ursae Majoris,10,4.56,0,72
Theta Ursa Majoris,10,3.27,0,73
Iota Ursa Majoris,10,3.19,0,68
Kappa Ursae Majoris,10,3.56,0,67
Alpha Ursa Majoris,10,1.95,0,105
Beta Ursa Majoris,10,2.34,0,104
Gamma Ursa Majoris,10,2.42,0,103
Chi Ursae Majoris,10,3.84,0,102
Psi Ursa Majoris,10,3.16,0,101
Lambda Ursae Majoris,10,3.45,0,74
Mu Ursa Majoris,10,3.14,0,75
Nu Ursae Majoris,10,3.63,0,99
Xi Ursae Majoris A,10,4.00,0,98
Delta Ursae Majoris,10,3.33,6,89
Epsilon Ursa Majoris,10,1.75,6,88
Zeta Ursa Majoris,10,2.25,6,87
Eta Ursa Majoris,10,1.80,6,86
2 Lyncis,72,4.44,1,125
